char_per_POS,word_per_sentence
3,1.2857142857142858
3,2.25
4,2.5
3,1.0
3,3.5
4,7.0
4,19.0
3,9.0
5,7.0
4,15.0
4,2.4285714285714284
4,5.0
4,2.6666666666666665
5,9.0
3,8.5
4,1.8888888888888888
4,15.0
3,5.0
3,3.857142857142857
4,4.0
4,6.333333333333333
5,10.0
4,4.5
3,2.75
4,4.0
4,2.125
3,3.0
4,7.0
4,1.6153846153846154
4,3.8333333333333335
3,2.2857142857142856
6,2.0
4,1.625
5,4.333333333333333
4,2.375
3,4.4
3,0.75
4,5.333333333333333
4,1.875
4,1.3333333333333333
4,5.0
4,2.0
3,2.5
4,11.0
4,2.25
3,3.8
3,1.9090909090909092
3,1.7142857142857142
3,4.0
4,5.0
3,4.4
3,6.666666666666667
4,2.75
3,2.4
3,2.6
3,10.0
3,11.0
3,4.5
4,2.6
6,2.75
4,3.1666666666666665
2,2.0
4,4.333333333333333
3,3.0
3,2.8333333333333335
3,2.5
4,0.75
3,2.8
4,1.5
5,3.3333333333333335
3,2.3333333333333335
4,9.0
4,2.0
3,4.75
3,4.333333333333333
4,8.333333333333334
4,2.5
4,5.333333333333333
4,2.0
3,7.5
4,5.0
4,1.7777777777777777
3,1.3529411764705883
3,4.333333333333333
4,23.0
4,1.3076923076923077
6,8.0
4,3.2
3,1.5
4,3.0
3,1.6
5,3.0
4,14.0
4,2.0
3,0.8888888888888888
3,4.5
4,4.5
4,2.0
4,3.0
4,19.0
4,4.25
3,4.8
3,2.5714285714285716
4,8.0
4,3.1666666666666665
3,3.25
4,2.3333333333333335
3,1.5555555555555556
4,4.333333333333333
4,5.333333333333333
3,2.0
4,3.2
4,18.0
4,2.2
3,3.8
4,3.4
4,3.5
3,4.0
4,5.0
4,1.0769230769230769
3,4.166666666666667
4,2.5
3,2.090909090909091
3,2.0
3,5.0
4,6.0
4,2.5
4,3.0
4,5.666666666666667
4,3.8
4,2.2222222222222223
4,2.0
4,9.0
6,0.8571428571428571
4,2.142857142857143
4,4.285714285714286
3,5.333333333333333
3,2.0
4,4.333333333333333
3,4.777777777777778
3,5.0
3,3.0
3,3.4545454545454546
3,4.076923076923077
4,12.666666666666666
4,8.5
4,8.5
2,3.0
3,16.0
4,2.0
4,7.333333333333333
2,1.0
3,12.0
3,12.0
4,7.0
5,6.0
1,11.0
4,3.6
4,3.2
3,6.0
4,3.5714285714285716
4,3.8
4,8.0
4,4.5
4,7.2105263157894735
4,2.0555555555555554
4,3.2857142857142856
4,5.857142857142857
4,4.0
4,12.0
4,4.3076923076923075
4,4.75
3,4.666666666666667
3,9.0
4,4.5
4,4.266666666666667
3,3.121212121212121
4,4.333333333333333
3,3.8
5,3.0
4,3.142857142857143
3,3.25
4,6.333333333333333
5,8.0
4,2.2222222222222223
2,1.8333333333333333
4,7.5
4,6.6
3,7.166666666666667
3,10.75
3,3.0
4,23.0
4,8.0
4,17.0
3,5.666666666666667
4,4.885714285714286
3,6.0
4,6.0
4,9.0
4,3.0
4,4.791666666666667
4,3.4285714285714284
4,9.0
4,16.333333333333332
4,3.263157894736842
3,4.0
3,2.0
3,3.0
4,3.857142857142857
5,1.0
4,6.666666666666667
3,1.2
3,1.0
3,2.75
4,17.6
4,7.5
3,2.25
3,3.4
4,5.75
3,7.666666666666667
3,10.0
4,2.6
4,5.75
3,4.090909090909091
4,1.6
3,4.2
4,6.571428571428571
4,7.428571428571429
4,8.75
3,4.25
4,6.0
3,2.1666666666666665
3,3.0
4,6.0
4,12.666666666666666
3,3.0
3,5.833333333333333
3,9.0
4,5.75
3,4.5
3,3.0
3,4.8
4,9.0
4,18.0
4,3.6
3,7.0
4,7.0
4,5.095238095238095
4,1.0
1,1.0
4,11.5
3,3.75
4,2.75
5,9.0
4,3.2857142857142856
4,30.0
5,2.0
4,3.3333333333333335
3,0.75
4,4.2
3,2.6
4,2.769230769230769
3,4.428571428571429
5,21.0
4,8.7
4,1.6
3,2.875
4,3.5555555555555554
4,9.333333333333334
4,6.857142857142857
4,6.6
4,13.5
4,3.0
4,2.925925925925926
2,2.0
3,4.0
3,1.0769230769230769
4,2.5
3,4.0
3,8.2
3,3.0
4,3.0
4,2.3333333333333335
3,4.0
4,3.0
3,1.875
4,6.0
4,2.8333333333333335
4,4.944444444444445
4,6.0
3,12.0
4,3.0
3,4.75
4,6.142857142857143
4,4.4
4,9.333333333333334
5,10.666666666666666
2,1.0
4,7.25
4,7.142857142857143
4,8.4
4,2.3333333333333335
4,2.0
4,7.5
3,3.4285714285714284
4,2.764705882352941
3,3.272727272727273
4,4.666666666666667
4,10.0
3,2.4285714285714284
4,3.6666666666666665
4,4.923076923076923
4,4.888888888888889
4,9.25
3,5.090909090909091
3,1.0
4,6.0
3,6.75
3,11.0
4,4.75
3,5.0
4,5.833333333333333
5,2.6666666666666665
4,3.0
4,5.923076923076923
5,7.0
4,10.666666666666666
4,4.8
4,5.285714285714286
4,9.0
4,2.0
4,7.166666666666667
4,6.166666666666667
7,5.0
4,7.0
1,6.0
3,12.5
5,2.1666666666666665
5,11.0
3,6.333333333333333
4,4.166666666666667
3,3.2
3,5.375
3,0.75
3,1.4444444444444444
3,6.25
4,9.714285714285714
7,1.6
4,4.333333333333333
4,3.1666666666666665
3,5.0
3,7.0
4,4.0
4,5.5
4,5.666666666666667
4,6.75
4,17.0
3,2.857142857142857
4,4.428571428571429
3,3.6
3,2.0
3,5.0
4,10.666666666666666
4,5.24
3,7.5
3,12.0
4,4.5
4,5.8
4,8.333333333333334
4,3.8333333333333335
3,3.2857142857142856
4,3.5
5,6.0
3,5.0
3,8.25
4,4.5
2,3.0
4,3.125
4,10.0
3,3.6666666666666665
4,2.0
3,3.4
3,7.0
3,1.0
6,3.5
4,2.0
3,5.0
3,2.5
5,2.0
4,2.8
3,1.8888888888888888
4,3.0
3,1.2307692307692308
5,10.0
4,4.0
3,6.666666666666667
4,2.8333333333333335
4,2.6
3,1.5
3,2.8333333333333335
4,3.0
3,2.6666666666666665
3,11.0
4,4.75
5,1.5
4,3.8
5,4.25
3,8.0
5,9.0
3,5.0
3,3.6666666666666665
3,5.25
3,1.5714285714285714
3,1.8
3,4.2
4,2.75
3,3.6666666666666665
3,1.9
4,1.5714285714285714
4,3.4
3,4.0
3,4.0
3,3.142857142857143
7,1.0
4,2.5
4,1.5
4,11.0
4,2.2
3,3.4285714285714284
4,4.5
5,5.5
4,2.5714285714285716
4,5.0
4,3.0
3,1.25
4,3.4
4,3.0
3,3.0
3,1.1428571428571428
3,1.7272727272727273
4,1.0
4,5.0
3,3.5714285714285716
4,3.6
4,3.5
4,2.3333333333333335
5,1.2857142857142858
5,7.0
3,4.6
5,1.0
3,4.5
5,4.0
4,9.0
3,2.4444444444444446
4,4.0
6,4.5
4,2.142857142857143
4,3.0
3,4.4
4,4.0
4,8.0
5,3.0
2,4.5
4,23.0
3,2.5555555555555554
3,7.0
3,7.0
6,4.0
4,3.0
4,2.7142857142857144
4,2.3333333333333335
3,14.0
3,3.3333333333333335
3,1.9
3,5.25
4,3.3333333333333335
5,1.0
4,4.2
3,3.6666666666666665
3,4.5
4,2.3333333333333335
4,2.5714285714285716
4,3.3333333333333335
4,12.0
4,11.0
3,7.0
5,3.2
5,6.0
3,2.857142857142857
4,2.5714285714285716
3,2.6
4,2.111111111111111
5,8.0
3,1.6
